Severity;Time;HourOfDay;Host;Problem;Urgency;Assignment Group
Warning;24.10.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;24.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.10.20 13:41;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;22.10.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;22.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.10.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.10.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.10.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;19.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.10.20 13:51;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;17.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.10.20 13:46;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;15.10.20 18:05;18;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;15.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;14.10.20 19:00;19;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;14.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;13.10.20 17:55;17;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;13.10.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;12.10.20 16:35;16;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;12.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;12.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.10.20 13:46;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;11.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;10.10.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;10.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.10.20 13:51;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;09.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;08.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;07.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;07.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;06.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;06.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.10.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;05.10.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Information;04.10.20 17:25;17;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;04.10.20 13:46;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;04.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;04.10.20 09:30;9;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;04.10.20 07:30;7;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;03.10.20 19:25;19;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;03.10.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;03.10.20 13:01;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Information;03.10.20 07:20;7;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;02.10.20 17:29;17;GS1900-10HP;GS1900-10HP has been restarted (uptime < 10m);2 - Medium;Network Services
Information;02.10.20 17:15;17;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;02.10.20 13:46;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;02.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;02.10.20 04:25;4;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;01.10.20 22:20;22;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;01.10.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;01.10.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;01.10.20 04:23;4;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;01.10.20 02:30;2;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;30.09.20 16:05;16;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;30.09.20 16:05;16;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;30.09.20 16:05;16;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;30.09.20 16:05;16;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;30.09.20 16:01;16;asterisk;Unavailable by ICMP ping;3 - High;Network Services
Average;30.09.20 15:05;15;DC1;"""ADSync"" (Microsoft Azure AD Sync) is not running (startup type automatic)";3 - High;Data Center Services
Average;30.09.20 15:04;15;DC1;"""CDPSvc"" (Plattformdienst für verbundene Geräte) is not running (startup type automatic delayed)";0 - Very Low;Data Center Services
Warning;30.09.20 15:02;15;DC1;Host has been restarted (uptime < 10m);2 - Medium;Data Center Services
Average;30.09.20 15:01;15;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
High;30.09.20 15:01;15;DC1;Unavailable by ICMP ping;3 - High;Network Services
Warning;30.09.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;30.09.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;30.09.20 10:30;10;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 09:38;9;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 09:21;9;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 09:04;9;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 08:49;8;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 08:07;8;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 06:38;6;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 05:57;5;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 05:37;5;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 05:24;5;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;30.09.20 05:08;5;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;29.09.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;29.09.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;29.09.20 13:01;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;28.09.20 15:41;15;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;28.09.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;28.09.20 13:01;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;28.09.20 02:23;2;sql-server;sql-server has been restarted (uptime < 10m);3 - High;Data Center Services
Average;27.09.20 16:18;16;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;27.09.20 16:16;16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.09.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;27.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;26.09.20 14:35;14;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;26.09.20 14:31;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.09.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;26.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;25.09.20 14:53;14;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;25.09.20 14:51;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;25.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;24.09.20 14:43;14;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;24.09.20 14:41;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;24.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;23.09.20 14:48;14;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;23.09.20 14:46;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;23.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;23.09.20 09:11;9;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;23.09.20 02:00;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;22.09.20 14:31;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;22.09.20 14:29;14;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;22.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;22.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;21.09.20 21:13;21;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;21.09.20 21:11;21;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;21.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;21.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;20.09.20 16:13;16;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;20.09.20 16:11;16;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;20.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;20.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;19.09.20 14:43;14;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;19.09.20 14:41;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Information;19.09.20 13:45;13;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;19.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;19.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;18.09.20 14:43;14;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;18.09.20 14:41;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;18.09.20 14:34;14;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;18.09.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;18.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;18.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;17.09.20 17:39;17;GS1900-10HP;GS1900-10HP has been restarted (uptime < 10m);2 - Medium;Network Services
Warning;17.09.20 14:26;14;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;17.09.20 14:25;14;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;17.09.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
High;17.09.20 05:06;5;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;17.09.20 05:01;5;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;17.09.20 04:53;4;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;17.09.20 04:53;4;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
Warning;17.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;16.09.20 13:15;13;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;16.09.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.09.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;16.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;15.09.20 13:14;13;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;15.09.20 13:11;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.09.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;15.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;15.09.20 11:27;11;GS1900-10HP;GS1900-10HP has been restarted (uptime < 10m);2 - Medium;Network Services
Warning;15.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;14.09.20 19:53;19;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;14.09.20 13:18;13;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;14.09.20 13:16;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.09.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.09.20 13:01;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;14.09.20 11:28;11;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;14.09.20 11:01;11;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;14.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;13.09.20 13:50;13;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;13.09.20 13:44;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Average;13.09.20 13:43;13;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Warning;13.09.20 13:41;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.09.20 13:04;13;GS1900-10HP Gartenhaus;Interface GigabitEthernet7(): High bandwidth usage ( > 90% );1 - Low;Network Services
Warning;13.09.20 13:02;13;SSTG4400;SSTG4400 has been restarted (uptime < 10m);3 - High;Data Center Services
Warning;13.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Average;12.09.20 17:56;17;SSTG4400;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;12.09.20 12:08;12;GitLab Contabo;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
Average;12.09.20 12:08;12;vpn;Zabbix agent is not available (for 3m);2 - Medium;Data Center Services
High;12.09.20 12:05;12;DC1;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;12;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;12;GS1900-10HP;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;12;GS1900-24;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;12;sysmail;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;12;sql-server;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;12;vpn;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;12;Cloudflare DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;12;Google DNS 2;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;12;Google DNS;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;12;Cloudflare DNS;Unavailable by ICMP ping;3 - High;Network Services
High;12.09.20 12:05;12;asterisk;Unavailable by ICMP ping;3 - High;Network Services
Warning;12.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;12.09.20 00:37;0;GS1900-10HP;GS1900-10HP has been restarted (uptime < 10m);2 - Medium;Network Services
Warning;11.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;10.09.20 20:19;20;GS1900-10HP Gartenhaus;GS1900-10HP Gartenhaus has been restarted (uptime < 10m);2 - Medium;Network Services
Warning;10.09.20 02:01;2;sql-server;/: Disk space is low (used > 80%);2 - Medium;Data Center Services
Warning;27.08.20 22:24;22;GS1900-10HP;GS1900-10HP has been restarted (uptime < 10m);2 - Medium;Network Services
Information;27.08.20 22:20;22;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;25.08.20 17:25;17;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Information;23.08.20 22:05;22;GS1900-24;Interface GigabitEthernet18(Telefon Max): Ethernet has changed to lower speed than it was before;0 - Very Low;Network Services
Warning;23.08.20 22:05;22;GS1900-24;Interface GigabitEthernet18(Telefon Max): High bandwidth usage ( > 90% );1 - Low;Network Services
Average;23.08.20 20:41;20;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;23.08.20 20:31;20;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Warning;22.08.20 13:23;13;GS1900-10HP Gartenhaus;GS1900-10HP Gartenhaus has been restarted (uptime < 10m);2 - Medium;Network Services
Warning;22.08.20 13:21;13;GS1900-10HP Gartenhaus;No SNMP data collection;2 - Medium;Network Services
Warning;22.08.20 13:21;13;GS1900-10HP Gartenhaus;High ICMP ping loss;3 - High;Network Services
High;22.08.20 12:55;12;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
Warning;21.08.20 22:04;22;GS1900-10HP Gartenhaus;GS1900-10HP Gartenhaus has been restarted (uptime < 10m);2 - Medium;Network Services
High;21.08.20 20:45;20;GS1900-10HP Gartenhaus;Unavailable by ICMP ping;3 - High;Network Services
Average;20.08.20 21:14;21;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 21:12;21;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 20:31;20;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 20:08;20;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 12:10;12;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 11:48;11;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 11:26;11;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 11:10;11;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 10:54;10;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 10:17;10;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 09:52;9;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 09:37;9;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 09:20;9;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 08:54;8;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 08:38;8;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 08:20;8;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 08:03;8;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 07:39;7;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 07:20;7;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 07:04;7;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 05:43;5;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 04:24;4;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 03:51;3;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 03:14;3;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 02:54;2;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 02:36;2;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 02:19;2;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 01:58;1;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 01:39;1;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 01:21;1;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 00:57;0;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
Average;19.08.20 00:42;0;DC1;High memory utilization ( >90% for 5m);3 - High;Data Center Services
